Date,Year,Month,Country,CornExportValue
2021-01-01,2021,1,Mexico,259668127.0
2021-01-01,2021,1,Canada,50390085.0
2021-01-01,2021,1,Colombia,123581200.0
2021-01-01,2021,1,South Korea,55417107.0
2021-02-01,2021,2,China,269501770.0
2021-02-01,2021,2,Japan,311938578.0
2021-02-01,2021,2,Mexico,276278760.0
2021-02-01,2021,2,Canada,49273003.0
2021-02-01,2021,2,Colombia,96630185.0
2021-02-01,2021,2,South Korea,114485533.0
2021-03-01,2021,3,China,409849034.0
2021-03-01,2021,3,Japan,468165300.0
2021-03-01,2021,3,Mexico,445335177.0
2021-03-01,2021,3,Canada,49417954.0
2021-03-01,2021,3,Colombia,178105033.0
2021-03-01,2021,3,South Korea,274340709.0
2021-04-01,2021,4,China,684163125.0
2021-04-01,2021,4,Japan,399088508.0
2021-04-01,2021,4,Mexico,389259030.0
2021-04-01,2021,4,Canada,43602831.0
2021-04-01,2021,4,Colombia,79097821.0
2021-04-01,2021,4,South Korea,236286258.0
2021-05-01,2021,5,China,915318193.0
2021-05-01,2021,5,Japan,322838625.0
2021-05-01,2021,5,Mexico,538882331.0
2021-05-01,2021,5,Canada,41541464.0
2021-05-01,2021,5,Colombia,147450144.0
2021-05-01,2021,5,South Korea,157388716.0
2021-06-01,2021,6,China,785868738.0
2021-06-01,2021,6,Japan,436904275.0
2021-06-01,2021,6,Mexico,408594722.0
2021-06-01,2021,6,Canada,31699300.0
2021-06-01,2021,6,Colombia,47603482.0
2021-06-01,2021,6,South Korea,20404384.0
2021-07-01,2021,7,China,804006237.0
2021-07-01,2021,7,Japan,193317994.0
2021-07-01,2021,7,Mexico,397971311.0
2021-07-01,2021,7,Canada,34527064.0
2021-07-01,2021,7,Colombia,17694893.0
2021-07-01,2021,7,South Korea,1999853.0
2021-08-01,2021,8,China,303688778.0
2021-08-01,2021,8,Japan,115156251.0
2021-08-01,2021,8,Mexico,387750969.0
2021-08-01,2021,8,Canada,29888713.0
2021-08-01,2021,8,Colombia,7124037.0
2021-08-01,2021,8,South Korea,713034.0
2021-09-01,2021,9,China,136124234.0
2021-09-01,2021,9,Japan,91051751.0
2021-09-01,2021,9,Mexico,311480272.0
2021-09-01,2021,9,Canada,41830900.0
2021-09-01,2021,9,Colombia,32721974.0
2021-09-01,2021,9,South Korea,1320194.0
2021-10-01,2021,10,China,91035366.0
2021-10-01,2021,10,Japan,154126689.0
2021-10-01,2021,10,Mexico,482302355.0
2021-10-01,2021,10,Canada,71484689.0
2021-10-01,2021,10,Colombia,144136729.0
2021-10-01,2021,10,South Korea,1102796.0
2021-11-01,2021,11,China,171920696.0
2021-11-01,2021,11,Japan,143076642.0
2021-11-01,2021,11,Mexico,438429236.0
2021-11-01,2021,11,Canada,145545273.0
2021-11-01,2021,11,Colombia,119214613.0
2021-11-01,2021,11,South Korea,1444323.0
2021-12-01,2021,12,China,231612728.0
2021-12-01,2021,12,Japan,252448992.0
2021-12-01,2021,12,Mexico,427577000.0
2021-12-01,2021,12,Canada,205022824.0
2021-12-01,2021,12,Colombia,98909727.0
2021-12-01,2021,12,South Korea,2276223.0
2022-01-01,2022,1,China,393675880.0
2022-01-01,2022,1,Japan,275419828.0
2022-01-01,2022,1,Mexico,423169533.0
2022-01-01,2022,1,Canada,173247992.0
2022-01-01,2022,1,Colombia,125277326.0
2022-01-01,2022,1,South Korea,936646.0
2022-02-01,2022,2,China,490493772.0
2022-02-01,2022,2,Japan,423912919.0
2022-02-01,2022,2,Mexico,391743231.0
2022-02-01,2022,2,Canada,197900759.0
2022-02-01,2022,2,Colombia,155040116.0
2022-02-01,2022,2,South Korea,3165303.0
2022-03-01,2022,3,China,606035304.0
2022-03-01,2022,3,Japan,388487310.0
2022-03-01,2022,3,Mexico,408127775.0
2022-03-01,2022,3,Canada,211979308.0
2022-03-01,2022,3,Colombia,155828112.0
2022-03-01,2022,3,South Korea,64323048.0
2022-04-01,2022,4,China,554713074.0
2022-04-01,2022,4,Japan,352520274.0
2022-04-01,2022,4,Mexico,443137171.0
2022-04-01,2022,4,Canada,162645368.0
2022-04-01,2022,4,Colombia,172832398.0
2022-04-01,2022,4,South Korea,126907214.0
2022-05-01,2022,5,China,617505170.0
2022-05-01,2022,5,Japan,351518002.0
2022-05-01,2022,5,Mexico,481990464.0
2022-05-01,2022,5,Canada,189456541.0
2022-05-01,2022,5,Colombia,203191879.0
2022-05-01,2022,5,South Korea,235803420.0
2022-06-01,2022,6,China,417822867.0
2022-06-01,2022,6,Japan,486514085.0
2022-06-01,2022,6,Mexico,482326248.0
2022-06-01,2022,6,Canada,148618207.0
2022-06-01,2022,6,Colombia,70966631.0
2022-06-01,2022,6,South Korea,77320227.0
2022-07-01,2022,7,China,511196873.0
2022-07-01,2022,7,Japan,266015164.0
2022-07-01,2022,7,Mexico,479433072.0
2022-07-01,2022,7,Canada,117299889.0
2022-07-01,2022,7,Colombia,25702666.0
2022-07-01,2022,7,South Korea,4544370.0
2022-08-01,2022,8,China,401931700.0
2022-08-01,2022,8,Japan,119296498.0
2022-08-01,2022,8,Mexico,403098647.0
2022-08-01,2022,8,Canada,90341039.0
2022-08-01,2022,8,Colombia,4277879.0
2022-08-01,2022,8,South Korea,2036291.0
2022-09-01,2022,9,China,282080098.0
2022-09-01,2022,9,Japan,85091662.0
2022-09-01,2022,9,Mexico,332004929.0
2022-09-01,2022,9,Canada,26726085.0
2022-09-01,2022,9,Colombia,4754143.0
2022-09-01,2022,9,South Korea,1335533.0
2022-10-01,2022,10,China,172732624.0
2022-10-01,2022,10,Japan,107379317.0
2022-10-01,2022,10,Mexico,319627382.0
2022-10-01,2022,10,Canada,29871682.0
2022-10-01,2022,10,Colombia,5929642.0
2022-10-01,2022,10,South Korea,1089779.0
2022-11-01,2022,11,China,287171107.0
2022-11-01,2022,11,Japan,45675602.0
2022-11-01,2022,11,Mexico,374170851.0
2022-11-01,2022,11,Canada,53312764.0
2022-11-01,2022,11,Colombia,10591231.0
2022-11-01,2022,11,South Korea,2462685.0
2022-12-01,2022,12,China,476938899.0
2022-12-01,2022,12,Japan,113536942.0
2022-12-01,2022,12,Mexico,456805842.0
2022-12-01,2022,12,Canada,59254435.0
2022-12-01,2022,12,Colombia,27991735.0
2022-12-01,2022,12,South Korea,4062591.0
2023-01-01,2023,1,China,205576228.0
2023-01-01,2023,1,Japan,129226779.0
2023-01-01,2023,1,Mexico,501915752.0
2023-01-01,2023,1,Canada,77750948.0
2023-01-01,2023,1,Colombia,19200967.0
2023-01-01,2023,1,South Korea,3171458.0
2023-02-01,2023,2,China,0.0
2023-02-01,2023,2,Japan,93494235.0
2023-02-01,2023,2,Mexico,562831800.0
2023-02-01,2023,2,Canada,92650693.0
2023-02-01,2023,2,Colombia,105065054.0
2023-02-01,2023,2,South Korea,19491260.0
2023-03-01,2023,3,China,106983297.0
2023-03-01,2023,3,Japan,257677161.0
2023-03-01,2023,3,Mexico,586434448.0
2023-03-01,2023,3,Canada,77045742.0
2023-03-01,2023,3,Colombia,161810541.0
2023-03-01,2023,3,South Korea,101280361.0
2023-04-01,2023,4,China,170042177.0
2023-04-01,2023,4,Japan,385035289.0
2023-04-01,2023,4,Mexico,473934301.0
2023-04-01,2023,4,Canada,59335015.0
2023-04-01,2023,4,Colombia,163331637.0
2023-04-01,2023,4,South Korea,45060134.0
2023-05-01,2023,5,China,580926718.0
2023-05-01,2023,5,Japan,373861217.0
2023-05-01,2023,5,Mexico,462142799.0
2023-05-01,2023,5,Canada,50297021.0
2023-05-01,2023,5,Colombia,63886117.0
2023-05-01,2023,5,South Korea,93308792.0
2023-06-01,2023,6,China,178836246.0
2023-06-01,2023,6,Japan,296298926.0
2023-06-01,2023,6,Mexico,439182195.0
2023-06-01,2023,6,Canada,44210365.0
2023-06-01,2023,6,Colombia,62599515.0
2023-06-01,2023,6,South Korea,1986991.0
2023-07-01,2023,7,China,21094925.0
2023-07-01,2023,7,Japan,107563583.0
2023-07-01,2023,7,Mexico,383517785.0
2023-07-01,2023,7,Canada,60034670.0
2023-07-01,2023,7,Colombia,18337593.0
2023-07-01,2023,7,South Korea,1819169.0
2023-08-01,2023,8,China,20060855.0
2023-08-01,2023,8,Japan,70853655.0
2023-08-01,2023,8,Mexico,337809238.0
2023-08-01,2023,8,Canada,66629777.0
2023-08-01,2023,8,Colombia,82847603.0
2023-08-01,2023,8,South Korea,2466875.0
2023-09-01,2023,9,China,154437351.0
2023-09-01,2023,9,Japan,96351593.0
2023-09-01,2023,9,Mexico,337929640.0
2023-09-01,2023,9,Canada,51211720.0
2023-09-01,2023,9,Colombia,69001809.0
2023-09-01,2023,9,South Korea,2092024.0
2023-10-01,2023,10,China,18589262.0
2023-10-01,2023,10,Japan,40505040.0
2023-10-01,2023,10,Mexico,465501183.0
2023-10-01,2023,10,Canada,65322793.0
2023-10-01,2023,10,Colombia,70494303.0
2023-10-01,2023,10,South Korea,1636563.0
2023-11-01,2023,11,China,82203837.0
2023-11-01,2023,11,Japan,52833966.0
2023-11-01,2023,11,Mexico,437701373.0
2023-11-01,2023,11,Canada,120913665.0
2023-11-01,2023,11,Colombia,122004577.0
2023-11-01,2023,11,South Korea,983447.0
2023-12-01,2023,12,China,118235802.0
2023-12-01,2023,12,Japan,193480639.0
2023-12-01,2023,12,Mexico,479380687.0
2023-12-01,2023,12,Canada,92609926.0
2023-12-01,2023,12,Colombia,202036298.0
2023-12-01,2023,12,South Korea,19254112.0
